dataset,label,precision,recall,f1,support
hard,practical_help,1.0,1.0,1.0,40
hard,relationship_reading,0.975609756097561,1.0,0.9876543209876543,40
hard,decision_support,1.0,1.0,1.0,40
hard,emotional_support,0.975609756097561,1.0,0.9876543209876543,40
hard,clarification,1.0,1.0,1.0,40
hard,open_discussion,1.0,0.95,0.9743589743589743,40
boundary,practical_help,1.0,0.95,0.9743589743589743,20
boundary,relationship_reading,0.8333333333333334,1.0,0.9090909090909091,5
boundary,decision_support,0.8,1.0,0.888888888888889,20
boundary,emotional_support,1.0,1.0,1.0,5
boundary,clarification,1.0,1.0,1.0,10
boundary,open_discussion,1.0,0.75,0.8571428571428571,20
realistic,practical_help,0.44680851063829785,0.386685552407932,0.4145785876993166,706
realistic,relationship_reading,0.8125,0.8,0.8062015503875969,260
realistic,decision_support,0.42923433874709976,0.3088480801335559,0.3592233009708738,599
realistic,emotional_support,0.9032258064516129,0.7567567567567568,0.823529411764706,37
realistic,clarification,0.8237704918032787,0.7217235188509874,0.769377990430622,557
realistic,open_discussion,0.5806818181818182,0.7207334273624824,0.6431718061674009,1418
